meUp_sampler_K4,meDown_K4,meUp_sampler_K9,meDown_K9,meUp_sampler_K27,meDown_K27,K27_spread_abu,tf_K9_target_frac,tf_K27_target_frac,RMSE_all,RMSE_me3,sim_tag,elapsed_s
19007,34238,26165,25876,19836,13378,6302,0.33686343525633805,0.26359377674806794,6.083129,6.375693,skopt_trial_0001,1375.1
15897,33050,15959,13605,25574,12110,13139,0.5393570008963562,0.6742930953718279,14.111442,23.734037,skopt_trial_0002,1630.6
6789,35193,15787,24625,17053,21330,14552,0.6783128648488197,0.42242393766940645,8.611325,12.003531,skopt_trial_0003,1605.1
23483,6919,15787,8031,22897,8847,3137,0.5106916550655891,0.1898049203102099,6.733869,6.755334,skopt_trial_0004,1307.7
9003,17300,27370,15149,19553,27363,2436,0.9303758940353868,0.49188402147876265,12.445861,19.254287,skopt_trial_0005,137790.0
7615,16252,23269,19411,11776,4037,12868,0.9233170246059383,0.4916741902032946,12.385519,20.305709,skopt_trial_0006,15777.7
20147,39826,18710,14188,15817,19835,7091,0.7385890094683635,0.29032104524157765,4.487712,5.783648,skopt_trial_0007,1487.8
24015,38134,20888,3366,19817,21189,19453,0.8708257563756652,0.40577462603194014,18.224277,29.136274,skopt_trial_0008,1539.2
4504,19693,3540,14926,29449,12705,9877,0.7476297688237508,0.6282855335515574,15.44248,24.486316,skopt_trial_0009,1524.6
27792,11022,18260,26358,16742,27752,18463,0.3540231202098915,0.2666311367686195,9.384843,12.204347,skopt_trial_0010,1347.0
12596,40000,17235,17187,9908,24593,500,0.8915933671061338,0.265849490097952,6.522245,8.489816,skopt_trial_0011,1471.1
19950,40000,18572,14568,15372,20731,6946,0.7130455698053231,0.286369972456509,3.891108,4.393207,skopt_trial_0012,1400.9
20347,40000,16759,16250,13333,24038,6985,0.6113507296871507,0.2631187742512161,3.114318,1.863455,skopt_trial_0013,1366.3
19989,40000,17780,17163,13301,23659,5243,0.6246095277081036,0.26631097043707497,3.254768,2.659297,skopt_trial_0014,1398.8
20624,40000,18898,15820,14330,22507,5807,0.5948467329245619,0.26056703266325876,3.132979,1.452711,skopt_trial_0015,1691.2
19382,40000,15176,15832,13054,25346,8717,0.6222565947737978,0.2638525915786918,3.40515,2.549651,skopt_trial_0016,1602.5
21501,40000,18867,15000,14196,22481,5931,0.5953817501727539,0.2627952203905265,3.199884,1.766292,skopt_trial_0017,1707.6
19656,37573,18320,16128,14600,23145,6401,0.6144091867926935,0.264134627807624,2.934844,0.899084,skopt_trial_0018,1419.3
16085,35392,16812,19258,14883,24630,6629,0.6245506439583204,0.25741326832356365,4.076493,4.160536,skopt_trial_0019,1396.1
16165,33292,18021,15955,12572,23077,6223,0.6267024186330813,0.26666380597252365,3.097515,1.441787,skopt_trial_0020,1355.4
